,index,Price,Beds,Baths,Address,Postal_Code,City,Latitude,Longitude,Cluster
2215,2981,2098000,5,3,105 Betty Ann Dr,M2N 6W3,Willowdale,43.7673,-79.4111,2
2216,2982,594649,3,3,21 Laguna Pkwy 10,L0K 1B0,Lake Simcoe ,44.6233,-79.1235,1
2217,2984,569900,2,2,3233 Eglinton Ave 409,M9R 3V7,Etobicoke,43.6898,-79.5582,3
2218,2985,757000,2,2,5 Northtown Way 314,M2N 7A1,Willowdale,43.7673,-79.4111,2
2219,2986,1298000,5,2,1 Willis Dr,L6W 2M7,Brampton,43.68,-79.7273,3
2220,2988,995800,2,2,2885 Keele St,M3M 2C9,Downsview,43.7319,-79.4928,3
2221,2989,1498000,5,2,90 De Quincy Blvd,M3H 2X5,North York ,43.7535,-79.4472,1
2222,2990,4499000,2,1,5051 Baseline Rd,N8V 1A1,Tecumseh,42.2773,-82.9447,2
2223,2991,2150000,2,2,2180 Marine Dr 1207,L6L 3B6,Oakville,43.4032,-79.7186,1
2224,2992,729000,2,2,20 Thomas Riley Rd 507,M9B 0C2,Etobicoke,43.6505,-79.5517,3
2225,2993,749900,3,2,223 Webb Dr 1505,L5B 1T8,Mississauga,43.5771,-79.6306,1
2226,2996,1078000,3,2,75 Wynford Heights Cres 1107,M3C 1L3,Don Mills ,43.7334,-79.3329,3
2227,3001,5998000,3,1,1074 Serson Ave,L5E 2A5,Mississauga,43.5836,-79.561,1
2228,3002,6800000,3,3,349 Zephyr Rd,L0E 1T0,Lake Simcoe ,44.3199,-79.2778,1
2229,3004,5228000,6,8,8 Bayview Park Lane,L4E 1A3,Richmond Hill ,43.9394,-79.4349,0
2230,3006,2495000,5,1,13 Oaklands Ave,M4V 1E3,Toronto,43.6861,-79.4025,2
2231,3007,5650000,5,7,185 Fenn Ave,M2P 1G6,North York ,43.75,-79.3978,0
2232,3008,1888888,8,3,43 Rusholme Park Cres,M6H 1A7,Toronto,43.6655,-79.4378,0
2233,3010,625000,2,1,150 Sudbury St 1815,M6J 0A8,Toronto,43.648,-79.4177,2
2234,3011,609000,1,1,75 Canterbury Pl 2910,M2N 2N1,Willowdale,43.7673,-79.4111,2
2235,3012,1399000,2,2,1177 Yonge St 604,M4T 1W5,Toronto,43.6899,-79.3853,2
2236,3015,1495000,1,1,180 University Ave 5207,M5H 2X7,Toronto,43.6496,-79.3833,2
2237,3017,949900,4,3,22 Cahill Dr,K1V 8S1,Ottawa,45.3281,-75.6719,1
2238,3018,3188000,6,4,80 Oakes Dr,L5G 2E5,Mississauga,43.5647,-79.5852,1
2239,3020,989900,2,2,50 Ordnance St 3405,M6K 3P8,Toronto,43.6383,-79.4301,2
2240,3021,1050000,4,2,194 Wyndham St,L5M 1N1,Mississauga,43.5637,-79.7202,1
2241,3022,1298888,3,3,95 Finch Ave,L1V 1H5,Pickering,43.8605,-79.1618,2
2242,3023,2500000,7,2,2319 Wildwood Cres,L1X 2N1,Pickering,43.8558,-79.0972,0
2243,3026,549900,2,1,120 Varna Dr 1408,M6A 1B1,North York ,43.7223,-79.4504,1
2244,3027,635000,2,2,349 Rathburn Rd 1705,M9B 2R5,Etobicoke,43.6505,-79.5517,3
2245,3028,1288000,3,2,56 Annie Craig Dr 2001,M8V 1A2,Toronto,43.6075,-79.5013,2
2246,3029,499990,2,2,50 Lakeside Terr 510,L4M 0J2,Barrie,44.4001,-79.6663,3
2247,3032,1739000,2,2,388 Drake St 2302,L1H 6E4,Oshawa,43.9721,-78.8837,1
2248,3033,936000,2,2,38 Forest Manor Rd 2402,M2J 1M4,North York ,43.7801,-79.3479,1
2249,3034,1298000,2,2,488 University Ave 2808,M5G 1X3,Toronto,43.6564,-79.386,2
2250,3035,2399000,2,2,68 Yorkville Ave 201,M5R 1C1,Toronto,43.6736,-79.4035,2
2251,3036,643888,1,1,16 Yonge St 1504,M5E,Toronto,43.6456,-79.3754,2
2252,3037,3599000,5,5,189 Glenview Ave,M4R 1P2,Toronto,43.7143,-79.4065,0
2253,3041,6600000,18,14,1041 Birchmount Rd,M1K 1S4,Scarborough,43.7298,-79.2639,0
2254,3043,659000,2,2,3220 Sheppard Ave 312,M2N 0G2,Willowdale,43.7673,-79.4111,2
2255,3044,821440,2,2,925 Deveron Cres,N5Z 4R3,London,42.966,-81.2053,1
2256,3045,1249999,5,4,30 Flindon Rd,M9W 6A6,Etobicoke,43.7144,-79.5909,3
2257,3049,2398000,6,4,46 Centre Ave,M5G 1R5,Toronto,43.6564,-79.386,0
2258,3050,2688000,4,4,226 Lawrence Ave,L4C 8T3,Richmond Hill ,43.8669,-79.4414,0
2259,3051,599999,2,2,50 Lakeside Terr 508,L4M 0J2,Barrie,44.4001,-79.6663,3
2260,3052,759000,1,1,330 Richmond St 1115,N7M 1N9,Chatham,42.4238,-82.1183,3
2261,3053,950000,3,2,125 Blue Jays Way 2902,M5V 1J4,Toronto,43.6404,-79.3995,2
2262,3054,1868000,3,3,35 Balmuto St 4502,M4W 3L8,Toronto,43.6827,-79.373,2
2263,3056,2650000,6,6,108 Admiral Rd,M2R 1K5,Willowdale,43.7786,-79.445,0
2264,3057,1298888,3,2,17 Bathurst St 2315,K2K 3A7,Kanata,45.3704,-75.9198,1
2265,3058,1050000,3,2,15 Fort York Blvd 510,M5V 3Y7,Toronto,43.6404,-79.3995,2
2266,3059,2899800,7,5,57 Hopperton Dr,M2L 2S1,North York ,43.7547,-79.3764,0
2267,3060,1449000,5,3,697 Browns Line,M8W 3T7,Etobicoke,43.6021,-79.5402,3
2268,3061,752900,2,1,171 East Liberty St 2605,M6K 3P8,Toronto,43.6383,-79.4301,2
2269,3063,11999000,3,2,2701 Lower Base Line,L5M 0H1,Mississauga,43.5637,-79.7202,1
